day_of_cycle ,period_of_cycle ,start_of_cycle ,start_time ,finsh_time ,stage
          14 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    4
          14 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    5
          14 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    6
          14 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    7
          14 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    8
          14 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    1
          14 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    2
          14 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    3
          14 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    4
          14 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    5
          14 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    6
          14 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    7
          14 ,             19 ,2023-09-15     ,14:00      ,16:30      ,    8
          14 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    4
          14 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    5
          14 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    6
          14 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    7
          14 ,             19 ,2023-09-15     ,22:00      ,00:30      ,    8
          15 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    3
          15 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    4
          15 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    5
          15 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    6
          15 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    7
          15 ,             19 ,2023-09-15     ,08:00      ,10:30      ,    8
          15 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    2
          15 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    3
          15 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    4
          15 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    5
          15 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    6
          15 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    7
          15 ,             19 ,2023-09-15     ,18:00      ,20:30      ,    8
          16 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    1
          16 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    2
          16 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    3
          16 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    4
          16 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    5
          16 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    6
          16 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    7
          16 ,             19 ,2023-09-15     ,04:00      ,06:30      ,    8
          16 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    4
          16 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    5
          16 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    6
          16 ,             19 ,2023-09-15     ,12:00      ,14:30      ,    7
